purchase_order_id,order_date,supplier_id,component_id,quantity,received_quantity,defective_quantity,unit_cost_eur,delivery_delay_days,lithium_index,metals_index,industrial_energy_index
PO-000690,2024-01-11,SUP-015,CMP-001,350,350,9,9.64,13,112.51,94.85,118.61
PO-001328,2024-01-12,SUP-036,CMP-003,3503,3503,12,7.25,2,112.57,94.94,118.67
PO-004428,2024-01-12,SUP-035,CMP-004,3090,3090,13,81.93,4,112.57,94.94,118.67
PO-004711,2024-01-12,SUP-045,CMP-005,806,806,3,131.83,2,112.57,94.94,118.67
PO-003164,2024-01-12,SUP-010,CMP-000,5853,5853,28,33.52,5,112.57,94.94,118.67
PO-003841,2024-01-13,SUP-005,CMP-002,2178,2178,22,4.98,1,112.62,95.02,118.73
PO-002735,2024-01-13,SUP-006,CMP-002,4761,4761,36,4.94,-2,112.62,95.02,118.73
PO-001555,2024-01-13,SUP-047,CMP-005,4398,4398,24,120.93,3,112.62,95.02,118.73
PO-000839,2024-01-14,SUP-039,CMP-001,4051,4051,26,9.53,0,112.67,95.11,118.79
PO-002118,2024-01-14,SUP-009,CMP-004,1107,1107,19,81.68,4,112.67,95.11,118.79
PO-001022,2024-01-14,SUP-013,CMP-004,4525,4525,211,80.12,1,112.67,95.11,118.79
PO-000122,2024-01-14,SUP-027,CMP-007,3879,3879,7,43.22,6,112.67,95.11,118.79
PO-003620,2024-01-14,SUP-048,CMP-000,4874,4874,11,34.29,1,112.67,95.11,118.79
PO-002857,2024-01-15,SUP-044,CMP-004,1981,1981,36,80.17,2,112.72,95.19,118.85
PO-003379,2024-01-15,SUP-026,CMP-001,1329,1329,15,9.58,-2,112.72,95.19,118.85
PO-004550,2024-01-15,SUP-053,CMP-002,1496,1496,31,4.72,4,112.72,95.19,118.85
PO-002643,2024-01-15,SUP-000,CMP-003,2942,2942,22,7.61,-2,112.72,95.19,118.85
PO-000898,2024-01-15,SUP-052,CMP-008,1036,1036,12,18.79,-2,112.72,95.19,118.85
PO-000887,2024-01-15,SUP-040,CMP-000,3098,3098,14,33.92,4,112.72,95.19,118.85
PO-003228,2024-01-16,SUP-000,CMP-004,1682,1682,18,80.94,0,112.77,95.27,118.91
PO-003839,2024-01-16,SUP-050,CMP-004,3698,3698,42,78.46,3,112.77,95.27,118.91
PO-003381,2024-01-16,SUP-010,CMP-001,3222,3222,7,9.65,2,112.77,95.27,118.91
PO-000781,2024-01-16,SUP-016,CMP-003,539,539,6,6.87,3,112.77,95.27,118.91
PO-001111,2024-01-16,SUP-041,CMP-004,3896,3896,50,81.28,-1,112.77,95.27,118.91
PO-001107,2024-01-17,SUP-039,CMP-003,634,634,12,7.93,3,112.82,95.36,118.97
PO-001941,2024-01-17,SUP-018,CMP-003,3620,3620,152,8.27,2,112.82,95.36,118.97
PO-002704,2024-01-17,SUP-017,CMP-000,4687,4687,44,36.27,-2,112.82,95.36,118.97
PO-001474,2024-01-17,SUP-023,CMP-007,1926,1926,8,44.3,0,112.82,95.36,118.97
PO-003491,2024-01-17,SUP-031,CMP-000,4554,4554,102,35.05,-3,112.82,95.36,118.97
PO-003007,2024-01-17,SUP-006,CMP-004,4430,4430,21,79.51,3,112.82,95.36,118.97
PO-000515,2024-01-17,SUP-033,CMP-000,3287,3287,72,35.27,-3,112.82,95.36,118.97
PO-001987,2024-01-17,SUP-026,CMP-005,3565,3565,84,119.36,0,112.82,95.36,118.97
PO-001857,2024-01-17,SUP-032,CMP-004,3785,3785,24,80.0,3,112.82,95.36,118.97
PO-001975,2024-01-18,SUP-005,CMP-001,2238,2238,44,9.19,-2,112.87,95.44,119.03
PO-004540,2024-01-18,SUP-043,CMP-008,1966,1966,20,18.78,2,112.87,95.44,119.03
PO-000930,2024-01-18,SUP-017,CMP-001,4854,4854,80,9.67,1,112.87,95.44,119.03
PO-001045,2024-01-18,SUP-021,CMP-007,4226,4226,102,43.48,0,112.87,95.44,119.03
PO-003670,2024-01-18,SUP-013,CMP-002,3387,3387,88,5.2,3,112.87,95.44,119.03
PO-003687,2024-01-18,SUP-013,CMP-004,3347,3347,189,79.27,-2,112.87,95.44,119.03
PO-001165,2024-01-18,SUP-019,CMP-007,3576,3576,67,44.83,-2,112.87,95.44,119.03
PO-000810,2024-01-19,SUP-038,CMP-005,5664,5664,50,123.94,0,112.92,95.52,119.09
PO-000596,2024-01-19,SUP-004,CMP-003,5097,5097,76,7.41,5,112.92,95.52,119.09
PO-003233,2024-01-19,SUP-030,CMP-006,5365,5365,51,29.52,4,112.92,95.52,119.09
PO-001087,2024-01-19,SUP-011,CMP-000,5850,5850,82,34.63,-2,112.92,95.52,119.09
PO-001969,2024-01-19,SUP-007,CMP-000,5496,5496,38,33.75,3,112.92,95.52,119.09
PO-000174,2024-01-19,SUP-011,CMP-006,1198,1198,14,27.81,1,112.92,95.52,119.09
PO-000258,2024-01-20,SUP-003,CMP-004,703,703,15,79.58,1,112.97,95.6,119.15
PO-003493,2024-01-20,SUP-012,CMP-000,4053,4053,92,33.3,0,112.97,95.6,119.15
PO-001352,2024-01-20,SUP-030,CMP-008,4213,4213,97,18.47,2,112.97,95.6,119.15
PO-004391,2024-01-20,SUP-009,CMP-004,2381,2381,25,86.61,6,112.97,95.6,119.15
PO-000747,2024-01-21,SUP-025,CMP-000,5210,5210,33,34.16,6,113.02,95.68,119.21
PO-002601,2024-01-21,SUP-012,CMP-001,4647,4647,26,9.05,4,113.02,95.68,119.21
PO-003005,2024-01-22,SUP-007,CMP-004,5925,5925,38,82.15,6,113.07,95.76,119.27
PO-000481,2024-01-22,SUP-013,CMP-009,4894,4894,122,13.74,1,113.07,95.76,119.27
PO-002180,2024-01-22,SUP-008,CMP-005,2331,2331,30,119.28,4,113.07,95.76,119.27
PO-002671,2024-01-22,SUP-038,CMP-001,1363,1363,23,8.66,1,113.07,95.76,119.27
PO-003432,2024-01-22,SUP-035,CMP-006,1839,1839,15,30.44,1,113.07,95.76,119.27
PO-003715,2024-01-22,SUP-013,CMP-005,230,230,3,124.76,2,113.07,95.76,119.27
PO-000694,2024-01-23,SUP-025,CMP-008,769,769,14,16.88,5,113.12,95.85,119.33
PO-001832,2024-01-23,SUP-019,CMP-008,5796,5796,113,18.07,1,113.12,95.85,119.33
PO-000821,2024-01-23,SUP-043,CMP-004,3978,3978,77,83.48,6,113.12,95.85,119.33
PO-001672,2024-01-23,SUP-001,CMP-007,3020,3020,23,43.13,-2,113.12,95.85,119.33
PO-003332,2024-01-23,SUP-011,CMP-002,3505,3505,90,4.83,0,113.12,95.85,119.33
PO-000284,2024-01-24,SUP-009,CMP-004,3029,3029,59,79.48,4,113.17,95.93,119.39
PO-002053,2024-01-24,SUP-033,CMP-007,525,525,9,42.75,1,113.17,95.93,119.39
PO-002156,2024-01-24,SUP-003,CMP-003,4620,4620,125,7.42,-1,113.17,95.93,119.39
PO-002765,2024-01-24,SUP-040,CMP-009,1991,1991,4,12.56,4,113.17,95.93,119.39
PO-000476,2024-01-24,SUP-020,CMP-004,5589,5589,43,86.15,3,113.17,95.93,119.39
PO-004591,2024-01-24,SUP-043,CMP-004,1856,1856,25,82.58,3,113.17,95.93,119.39
PO-001357,2024-01-24,SUP-053,CMP-003,997,997,15,7.26,0,113.17,95.93,119.39
PO-001499,2024-01-24,SUP-051,CMP-006,3028,3028,43,29.99,-2,113.17,95.93,119.39
PO-002490,2024-01-25,SUP-044,CMP-007,3659,3659,136,44.12,0,113.22,96.01,119.44
PO-004237,2024-01-25,SUP-026,CMP-007,3409,3409,163,39.63,-2,113.22,96.01,119.44
PO-000872,2024-01-25,SUP-021,CMP-006,4921,4921,92,30.87,0,113.22,96.01,119.44
PO-003071,2024-01-25,SUP-025,CMP-003,5087,5087,135,6.81,3,113.22,96.01,119.44
PO-000303,2024-01-26,SUP-002,CMP-005,305,305,4,111.13,0,113.27,96.08,119.5
PO-001816,2024-01-26,SUP-028,CMP-001,5256,5256,103,9.69,-1,113.27,96.08,119.5
PO-002213,2024-01-26,SUP-013,CMP-005,1883,1883,31,118.36,1,113.27,96.08,119.5
PO-003006,2024-01-26,SUP-050,CMP-003,5270,5270,27,7.25,0,113.27,96.08,119.5
PO-000632,2024-01-26,SUP-007,CMP-006,391,391,3,27.61,7,113.27,96.08,119.5
PO-000746,2024-01-26,SUP-033,CMP-007,437,437,6,45.63,1,113.27,96.08,119.5
PO-001192,2024-01-27,SUP-019,CMP-006,4243,4243,154,36.31,-4,113.31,96.16,119.56
PO-001335,2024-01-27,SUP-019,CMP-000,1554,1554,24,35.57,2,113.31,96.16,119.56
PO-001366,2024-01-27,SUP-000,CMP-000,3664,3664,43,36.52,1,113.31,96.16,119.56
PO-001099,2024-01-27,SUP-023,CMP-004,1850,1850,10,84.25,-1,113.31,96.16,119.56
PO-000500,2024-01-27,SUP-008,CMP-004,763,763,11,83.89,3,113.31,96.16,119.56
PO-003859,2024-01-27,SUP-045,CMP-002,2297,2297,13,5.17,-1,113.31,96.16,119.56
PO-004182,2024-01-27,SUP-040,CMP-005,3279,3279,14,123.89,-4,113.31,96.16,119.56
PO-003993,2024-01-27,SUP-047,CMP-009,3830,3830,42,13.29,2,113.31,96.16,119.56
PO-003277,2024-01-28,SUP-006,CMP-004,1926,1926,28,77.79,-1,113.36,96.24,119.62
PO-001389,2024-01-29,SUP-052,CMP-007,4034,4034,36,48.02,3,113.41,96.32,119.67
PO-004377,2024-01-29,SUP-035,CMP-003,1304,1304,20,7.35,3,113.41,96.32,119.67
PO-004408,2024-01-29,SUP-012,CMP-006,2468,2468,64,28.13,4,113.41,96.32,119.67
PO-002249,2024-01-29,SUP-042,CMP-005,1657,1657,23,127.61,-4,113.41,96.32,119.67
PO-003847,2024-01-29,SUP-002,CMP-005,3956,3956,52,121.64,0,113.41,96.32,119.67
PO-003658,2024-01-29,SUP-029,CMP-002,2753,2753,52,4.75,4,113.41,96.32,119.67
PO-001702,2024-01-29,SUP-025,CMP-007,5592,5592,125,43.55,4,113.41,96.32,119.67
PO-002444,2024-01-29,SUP-046,CMP-000,778,778,39,33.05,2,113.41,96.32,119.67
PO-004724,2024-01-29,SUP-029,CMP-009,3500,3500,107,13.56,1,113.41,96.32,119.67
PO-002598,2024-01-29,SUP-004,CMP-004,3493,3493,165,78.77,5,113.41,96.32,119.67
PO-002256,2024-01-30,SUP-053,CMP-007,4107,4107,32,43.68,0,113.46,96.4,119.73
PO-000878,2024-01-30,SUP-052,CMP-003,2948,2948,38,7.36,3,113.46,96.4,119.73
PO-003752,2024-01-30,SUP-030,CMP-004,3573,3573,44,79.84,5,113.46,96.4,119.73
PO-001635,2024-01-30,SUP-035,CMP-003,1929,1929,9,7.78,2,113.46,96.4,119.73
PO-000503,2024-01-30,SUP-009,CMP-004,1482,1482,38,85.14,3,113.46,96.4,119.73
PO-004341,2024-01-30,SUP-000,CMP-000,2657,2657,15,35.18,2,113.46,96.4,119.73
PO-004648,2024-01-31,SUP-020,CMP-005,5407,5407,49,119.79,1,113.51,96.47,119.78
PO-002043,2024-01-31,SUP-017,CMP-001,5751,5751,103,9.71,1,113.51,96.47,119.78
PO-001473,2024-01-31,SUP-034,CMP-000,5672,5672,37,34.92,1,113.51,96.47,119.78
PO-002575,2024-01-31,SUP-006,CMP-007,3946,3946,36,45.19,4,113.51,96.47,119.78
PO-004646,2024-01-31,SUP-011,CMP-006,3119,3119,24,30.21,3,113.51,96.47,119.78
PO-001163,2024-01-31,SUP-018,CMP-001,3631,3631,44,9.59,-1,113.51,96.47,119.78
PO-003428,2024-01-31,SUP-019,CMP-001,3687,3687,48,9.97,-2,113.51,96.47,119.78
PO-001385,2024-02-01,SUP-017,CMP-001,5340,5340,115,9.77,0,113.55,96.55,119.84
PO-003321,2024-02-01,SUP-024,CMP-000,1057,1057,40,35.13,5,113.55,96.55,119.84
PO-001488,2024-02-01,SUP-011,CMP-004,784,784,10,80.12,1,113.55,96.55,119.84
PO-002546,2024-02-01,SUP-036,CMP-009,601,601,3,12.28,2,113.55,96.55,119.84
PO-001371,2024-02-01,SUP-030,CMP-002,5882,5882,104,4.81,4,113.55,96.55,119.84
PO-003240,2024-02-01,SUP-029,CMP-000,837,837,8,32.67,0,113.55,96.55,119.84
PO-004223,2024-02-02,SUP-009,CMP-004,4242,4242,96,88.01,-1,113.6,96.62,119.89
PO-000166,2024-02-02,SUP-031,CMP-007,3728,3728,77,46.03,6,113.6,96.62,119.89
PO-003695,2024-02-02,SUP-003,CMP-002,4583,4583,83,4.94,5,113.6,96.62,119.89
PO-002286,2024-02-02,SUP-003,CMP-003,2517,2517,93,7.09,0,113.6,96.62,119.89
PO-003825,2024-02-03,SUP-042,CMP-005,1172,1172,9,122.39,2,113.65,96.7,119.95
PO-003545,2024-02-03,SUP-004,CMP-001,1170,1170,46,9.33,2,113.65,96.7,119.95
PO-004608,2024-02-03,SUP-023,CMP-000,1657,1657,5,34.77,0,113.65,96.7,119.95
PO-003544,2024-02-03,SUP-023,CMP-004,283,283,0,85.78,0,113.65,96.7,119.95
PO-004498,2024-02-03,SUP-026,CMP-005,1389,1389,14,124.31,-2,113.65,96.7,119.95
PO-001805,2024-02-03,SUP-029,CMP-007,2104,2104,72,42.83,4,113.65,96.7,119.95
PO-002938,2024-02-03,SUP-042,CMP-004,4486,4486,75,82.11,-2,113.65,96.7,119.95
PO-004149,2024-02-04,SUP-043,CMP-009,1631,1631,93,13.34,2,113.69,96.77,120.0
PO-000820,2024-02-04,SUP-025,CMP-003,4100,4100,314,7.08,3,113.69,96.77,120.0
PO-004110,2024-02-04,SUP-010,CMP-001,1832,1832,8,9.93,1,113.69,96.77,120.0
PO-001757,2024-02-04,SUP-027,CMP-000,4248,4248,23,32.14,2,113.69,96.77,120.0
PO-000499,2024-02-04,SUP-048,CMP-004,1339,1339,3,83.23,4,113.69,96.77,120.0
PO-001186,2024-02-05,SUP-023,CMP-004,5210,5210,63,81.45,3,113.74,96.84,120.05
PO-004017,2024-02-05,SUP-004,CMP-007,3847,3847,64,41.98,-2,113.74,96.84,120.05
PO-001691,2024-02-05,SUP-022,CMP-000,283,283,3,35.36,4,113.74,96.84,120.05
PO-001155,2024-02-05,SUP-022,CMP-003,1533,1533,7,7.16,0,113.74,96.84,120.05
PO-004368,2024-02-05,SUP-022,CMP-005,2560,2560,56,124.94,19,113.74,96.84,120.05
PO-001106,2024-02-05,SUP-000,CMP-007,1440,1440,22,44.03,-1,113.74,96.84,120.05
PO-001413,2024-02-05,SUP-017,CMP-003,2094,2094,9,7.42,3,113.74,96.84,120.05
PO-003298,2024-02-06,SUP-026,CMP-008,5447,5447,94,18.45,2,113.79,96.92,120.11
PO-000718,2024-02-06,SUP-033,CMP-007,741,741,18,42.93,3,113.79,96.92,120.11
PO-000567,2024-02-06,SUP-019,CMP-001,1604,1604,42,9.65,-1,113.79,96.92,120.11
PO-003659,2024-02-06,SUP-053,CMP-000,2415,2415,52,34.31,4,113.79,96.92,120.11
PO-000000,2024-02-06,SUP-020,CMP-000,3336,3336,21,35.95,5,113.79,96.92,120.11
PO-004601,2024-02-06,SUP-030,CMP-000,356,356,14,34.1,3,113.79,96.92,120.11
PO-002240,2024-02-07,SUP-018,CMP-004,2513,2513,33,84.47,3,113.83,96.99,120.16
PO-003182,2024-02-07,SUP-012,CMP-003,3487,3487,87,6.68,1,113.83,96.99,120.16
PO-001369,2024-02-07,SUP-038,CMP-002,580,580,14,4.93,2,113.83,96.99,120.16
PO-001930,2024-02-07,SUP-022,CMP-005,191,191,2,120.97,0,113.83,96.99,120.16
PO-003172,2024-02-08,SUP-018,CMP-004,4457,4457,93,83.51,0,113.88,97.06,120.21
PO-002899,2024-02-08,SUP-041,CMP-004,4520,4520,32,77.09,1,113.88,97.06,120.21
PO-004116,2024-02-08,SUP-016,CMP-000,831,831,12,35.76,2,113.88,97.06,120.21
PO-003146,2024-02-08,SUP-039,CMP-004,391,391,3,80.7,2,113.88,97.06,120.21
PO-004235,2024-02-09,SUP-020,CMP-003,3507,3507,26,7.51,5,113.92,97.13,120.26
PO-003948,2024-02-09,SUP-007,CMP-000,4920,4920,34,34.28,3,113.92,97.13,120.26
PO-002336,2024-02-09,SUP-012,CMP-001,4711,4711,133,12.16,1,113.92,97.13,120.26
PO-002540,2024-02-09,SUP-010,CMP-002,1842,1842,5,4.68,5,113.92,97.13,120.26
PO-004770,2024-02-09,SUP-012,CMP-009,1700,1700,20,13.69,-1,113.92,97.13,120.26
PO-000368,2024-02-09,SUP-017,CMP-002,421,421,4,5.07,3,113.92,97.13,120.26
PO-001467,2024-02-09,SUP-014,CMP-000,2520,2520,56,34.49,0,113.92,97.13,120.26
PO-002133,2024-02-10,SUP-024,CMP-007,200,200,8,45.86,0,113.97,97.2,120.31
PO-001912,2024-02-10,SUP-010,CMP-000,5872,5872,21,36.48,3,113.97,97.2,120.31
PO-002440,2024-02-10,SUP-006,CMP-001,3330,3330,11,9.65,4,113.97,97.2,120.31
PO-000468,2024-02-10,SUP-026,CMP-003,4706,4706,128,6.94,0,113.97,97.2,120.31
PO-001190,2024-02-10,SUP-016,CMP-004,697,697,11,80.8,0,113.97,97.2,120.31
PO-002132,2024-02-10,SUP-022,CMP-008,1413,1413,7,18.09,-4,113.97,97.2,120.31
PO-001656,2024-02-10,SUP-030,CMP-000,3428,3428,41,36.29,5,113.97,97.2,120.31
PO-000055,2024-02-11,SUP-048,CMP-009,5540,5540,36,13.01,2,114.01,97.27,120.37
PO-004124,2024-02-11,SUP-053,CMP-002,4620,4620,155,5.16,4,114.01,97.27,120.37
PO-000546,2024-02-11,SUP-046,CMP-004,5762,5762,63,80.64,5,114.01,97.27,120.37
PO-002578,2024-02-11,SUP-008,CMP-009,5684,5684,73,13.01,4,114.01,97.27,120.37
PO-000949,2024-02-11,SUP-023,CMP-005,2200,2200,14,127.98,3,114.01,97.27,120.37
PO-002267,2024-02-11,SUP-046,CMP-004,3871,3871,98,85.13,4,114.01,97.27,120.37
PO-000661,2024-02-12,SUP-006,CMP-003,4212,4212,64,7.11,2,114.05,97.34,120.42
PO-004196,2024-02-12,SUP-017,CMP-004,1625,1625,14,84.69,0,114.05,97.34,120.42
PO-003671,2024-02-12,SUP-050,CMP-004,5953,5953,52,81.12,0,114.05,97.34,120.42
PO-002635,2024-02-12,SUP-013,CMP-000,199,199,2,34.64,1,114.05,97.34,120.42
PO-000395,2024-02-12,SUP-022,CMP-003,1157,1157,21,7.29,0,114.05,97.34,120.42
PO-001881,2024-02-12,SUP-028,CMP-003,510,510,9,7.32,0,114.05,97.34,120.42
PO-000509,2024-02-12,SUP-041,CMP-000,1320,1320,52,42.35,0,114.05,97.34,120.42
PO-004095,2024-02-12,SUP-009,CMP-004,3289,3289,15,86.16,3,114.05,97.34,120.42
PO-003584,2024-02-13,SUP-037,CMP-002,1470,1470,17,5.1,4,114.1,97.4,120.46
PO-004064,2024-02-13,SUP-008,CMP-001,2505,2505,23,9.65,4,114.1,97.4,120.46
PO-002415,2024-02-13,SUP-005,CMP-009,5352,5352,202,12.91,-1,114.1,97.4,120.46
PO-003922,2024-02-13,SUP-011,CMP-004,4316,4316,96,83.19,1,114.1,97.4,120.46
PO-000770,2024-02-13,SUP-011,CMP-007,4847,4847,145,42.32,1,114.1,97.4,120.46
PO-004354,2024-02-13,SUP-053,CMP-005,4536,4536,45,118.61,1,114.1,97.4,120.46
PO-003286,2024-02-13,SUP-023,CMP-001,5525,5525,21,9.56,0,114.1,97.4,120.46
PO-004385,2024-02-13,SUP-045,CMP-008,926,926,3,18.79,-1,114.1,97.4,120.46
PO-003041,2024-02-13,SUP-047,CMP-001,4037,4037,14,9.97,5,114.1,97.4,120.46
PO-001423,2024-02-14,SUP-042,CMP-000,3065,3065,36,34.23,1,114.14,97.47,120.51
PO-000068,2024-02-14,SUP-015,CMP-002,2853,2853,56,4.8,12,114.14,97.47,120.51
PO-003334,2024-02-14,SUP-025,CMP-000,989,989,17,35.49,-2,114.14,97.47,120.51
PO-000317,2024-02-15,SUP-017,CMP-000,859,859,8,35.7,0,114.18,97.53,120.56
PO-004279,2024-02-15,SUP-005,CMP-008,1801,1801,68,19.61,-3,114.18,97.53,120.56
PO-004052,2024-02-15,SUP-010,CMP-000,1683,1683,12,36.41,0,114.18,97.53,120.56
PO-002075,2024-02-15,SUP-029,CMP-002,4118,4118,111,5.42,-1,114.18,97.53,120.56
PO-000769,2024-02-15,SUP-003,CMP-005,3508,3508,42,122.94,3,114.18,97.53,120.56
PO-004302,2024-02-16,SUP-038,CMP-004,478,478,4,80.48,1,114.22,97.6,120.61
PO-000278,2024-02-16,SUP-031,CMP-006,2093,2093,55,28.54,1,114.22,97.6,120.61
PO-002413,2024-02-16,SUP-011,CMP-009,2559,2559,60,13.33,0,114.22,97.6,120.61
PO-004571,2024-02-16,SUP-029,CMP-004,3418,3418,107,81.42,-1,114.22,97.6,120.61
PO-001977,2024-02-16,SUP-020,CMP-006,5546,5546,54,32.09,7,114.22,97.6,120.61
PO-003429,2024-02-17,SUP-047,CMP-006,5492,5492,46,29.24,4,114.27,97.66,120.66
PO-001739,2024-02-17,SUP-052,CMP-007,1557,1557,38,46.0,0,114.27,97.66,120.66
PO-000630,2024-02-17,SUP-009,CMP-004,1332,1332,12,81.74,3,114.27,97.66,120.66
PO-002560,2024-02-17,SUP-038,CMP-008,4153,4153,132,17.21,2,114.27,97.66,120.66
PO-001024,2024-02-17,SUP-006,CMP-006,579,579,5,30.24,2,114.27,97.66,120.66
PO-000482,2024-02-18,SUP-016,CMP-004,4430,4430,49,86.52,-1,114.31,97.72,120.7
PO-002475,2024-02-18,SUP-037,CMP-007,1800,1800,4,45.07,-1,114.31,97.72,120.7
PO-003551,2024-02-18,SUP-048,CMP-002,3403,3403,10,4.88,-1,114.31,97.72,120.7
PO-004422,2024-02-18,SUP-008,CMP-000,4993,4993,51,33.88,2,114.31,97.72,120.7
PO-003930,2024-02-19,SUP-021,CMP-004,3327,3327,36,80.76,-1,114.35,97.79,120.75
PO-001292,2024-02-19,SUP-029,CMP-000,2831,2831,53,34.33,0,114.35,97.79,120.75
PO-001081,2024-02-19,SUP-011,CMP-000,5591,5591,80,34.48,4,114.35,97.79,120.75
PO-003243,2024-02-19,SUP-045,CMP-009,4721,4721,22,13.13,1,114.35,97.79,120.75
PO-000787,2024-02-19,SUP-010,CMP-009,5954,5954,39,13.81,-1,114.35,97.79,120.75
PO-002916,2024-02-19,SUP-031,CMP-000,197,197,1,36.37,1,114.35,97.79,120.75
PO-001276,2024-02-19,SUP-015,CMP-005,2963,2963,40,120.99,6,114.35,97.79,120.75
PO-001382,2024-02-20,SUP-043,CMP-000,4239,4239,34,35.2,7,114.39,97.85,120.79
