purchase_order_id,order_date,supplier_id,component_id,quantity,received_quantity,defective_quantity,unit_cost_eur,delivery_delay_days,lithium_index,metals_index,industrial_energy_index,supplier_name,country,country_risk,contract_tier,component,commodity_family,standard_unit_cost_eur,commodity_exposure,energy_exposure,actual_spend_eur,standard_spend_eur,ppv_eur,price_variance_pct,defect_rate,on_time,month,anomaly_score,is_anomaly,anomaly_reason
PO-000513,2024-01-03,SUP-008,CMP-001,3248,3248,84,9.68,3,112.1,94.17,118.12,Supplier A09,CN,42,Preferred,Anode graphite,Graphite,9.4,0.47,0.13,31440.64,30531.2,909.4399999999987,2.9787234042553123,0.02586206896551724,False,2024-01,0.9223,False,Multivariate exception
PO-000314,2024-01-03,SUP-013,CMP-001,5126,5126,34,9.84,6,112.1,94.17,118.12,Supplier A14,CN,42,Approved,Anode graphite,Graphite,9.4,0.47,0.13,50439.84,48184.4,2255.439999999995,4.680851063829783,0.006632852126414358,False,2024-01,1.0035,False,Multivariate exception
PO-003561,2024-01-04,SUP-042,CMP-002,2364,2364,49,5.13,0,112.15,94.26,118.18,Supplier B17,DE,12,Approved,Cell casing,Aluminium,4.8,0.22,0.2,12127.32,11347.199999999999,780.1200000000008,6.875000000000009,0.020727580372250424,True,2024-01,0.7914,False,Multivariate exception
PO-000791,2024-01-04,SUP-020,CMP-007,711,711,5,42.9,3,112.15,94.26,118.18,Supplier A21,KR,21,Preferred,Module housing,Aluminium,42.0,0.18,0.26,30501.899999999998,29862.0,639.8999999999978,2.1428571428571352,0.007032348804500703,False,2024-01,0.3816,False,Multivariate exception
PO-000723,2024-01-04,SUP-040,CMP-000,3609,3609,38,33.13,-1,112.15,94.26,118.18,Supplier B15,KR,21,Preferred,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,119566.17000000001,111879.0,7687.170000000013,6.870967741935496,0.010529232474369632,True,2024-01,0.6005,False,Multivariate exception
PO-001170,2024-01-04,SUP-035,CMP-004,4939,4939,30,82.6,5,112.15,94.26,118.18,Supplier B10,KR,21,Strategic,Battery cell,Multi-material,74.0,0.52,0.18,407961.39999999997,365486.0,42475.399999999965,11.621621621621614,0.006074104069649726,False,2024-01,1.4447,False,Multivariate exception
PO-002039,2024-01-05,SUP-025,CMP-009,3361,3361,152,13.17,2,112.21,94.34,118.25,Supplier A26,KR,21,Preferred,Pack seal & insulation,Polymers,13.0,0.06,0.14,44264.37,43693.0,571.3700000000026,1.3076923076922986,0.045224635525141325,True,2024-01,2.0518,False,High defect rate
PO-004416,2024-01-05,SUP-046,CMP-009,5973,5973,93,13.41,3,112.21,94.34,118.25,Supplier B21,KR,21,Preferred,Pack seal & insulation,Polymers,13.0,0.06,0.14,80097.93000000001,77649.0,2448.9300000000076,3.1538461538461515,0.0155700652938222,False,2024-01,0.4417,False,Multivariate exception
PO-004433,2024-01-05,SUP-048,CMP-003,5145,5145,16,7.32,0,112.21,94.34,118.25,Supplier B23,PL,19,Preferred,Copper busbar,Copper,7.2,0.4,0.11,37661.4,37044.0,617.4000000000015,1.6666666666666607,0.003109815354713314,True,2024-01,0.0,False,Multivariate exception
PO-004488,2024-01-05,SUP-040,CMP-009,1843,1843,12,13.03,3,112.21,94.34,118.25,Supplier B15,KR,21,Preferred,Pack seal & insulation,Polymers,13.0,0.06,0.14,24014.289999999997,23959.0,55.289999999997235,0.2307692307692344,0.0065111231687466084,False,2024-01,0.3816,False,Multivariate exception
PO-004471,2024-01-06,SUP-031,CMP-007,5066,5066,97,44.63,1,112.26,94.43,118.31,Supplier B06,CZ,17,Approved,Module housing,Aluminium,42.0,0.18,0.26,226095.58000000002,212772.0,13323.580000000016,6.261904761904757,0.01914725621792341,True,2024-01,0.6662,False,Multivariate exception
PO-001849,2024-01-06,SUP-023,CMP-000,396,396,2,34.5,2,112.26,94.43,118.31,Supplier A24,DE,12,Approved,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,13662.0,12276.0,1386.0,11.290322580645151,0.005050505050505051,True,2024-01,1.1984,False,Multivariate exception
PO-003656,2024-01-06,SUP-027,CMP-006,4003,4003,16,28.5,3,112.26,94.43,118.31,Supplier B02,CZ,17,Preferred,Thermal management plate,Aluminium,28.0,0.16,0.24,114085.5,112084.0,2001.5,1.7857142857142794,0.003997002248313765,False,2024-01,0.3816,False,Multivariate exception
PO-000409,2024-01-06,SUP-020,CMP-004,368,368,4,84.75,0,112.26,94.43,118.31,Supplier A21,KR,21,Preferred,Battery cell,Multi-material,74.0,0.52,0.18,31188.0,27232.0,3956.0,14.527027027027017,0.010869565217391304,True,2024-01,1.6098,False,High unit-price variance
PO-002977,2024-01-06,SUP-004,CMP-003,3994,3994,48,7.04,0,112.26,94.43,118.31,Supplier A05,PL,19,Preferred,Copper busbar,Copper,7.2,0.4,0.11,28117.76,28756.8,-639.0400000000009,-2.2222222222222254,0.012018027040560842,True,2024-01,0.0,False,Multivariate exception
PO-003810,2024-01-06,SUP-017,CMP-006,4178,4178,58,28.56,3,112.26,94.43,118.31,Supplier A18,PL,19,Approved,Thermal management plate,Aluminium,28.0,0.16,0.24,119323.68,116984.0,2339.679999999993,2.0000000000000018,0.013882240306366683,False,2024-01,0.3915,False,Multivariate exception
PO-000943,2024-01-07,SUP-045,CMP-001,2202,2202,8,9.34,-2,112.31,94.51,118.37,Supplier B20,DE,12,Approved,Anode graphite,Graphite,9.4,0.47,0.13,20566.68,20698.8,-132.11999999999898,-0.638297872340432,0.0036330608537693005,True,2024-01,0.0,False,Multivariate exception
PO-002072,2024-01-07,SUP-017,CMP-004,2281,2281,59,82.12,0,112.31,94.51,118.37,Supplier A18,PL,19,Approved,Battery cell,Multi-material,74.0,0.52,0.18,187315.72,168794.0,18521.72,10.972972972972972,0.025865848312143797,True,2024-01,1.4143,False,Multivariate exception
PO-003722,2024-01-07,SUP-035,CMP-006,3468,3468,36,27.04,2,112.31,94.51,118.37,Supplier B10,KR,21,Strategic,Thermal management plate,Aluminium,28.0,0.16,0.24,93774.72,97104.0,-3329.279999999999,-3.4285714285714364,0.010380622837370242,True,2024-01,0.1908,False,Multivariate exception
PO-002945,2024-01-07,SUP-000,CMP-007,5058,5058,116,43.33,2,112.31,94.51,118.37,Supplier A01,HU,24,Preferred,Module housing,Aluminium,42.0,0.18,0.26,219163.13999999998,212436.0,6727.139999999985,3.166666666666673,0.022933965994464216,True,2024-01,0.689,False,Multivariate exception
PO-003445,2024-01-07,SUP-020,CMP-002,3640,3640,28,4.75,0,112.31,94.51,118.37,Supplier A21,KR,21,Preferred,Cell casing,Aluminium,4.8,0.22,0.2,17290.0,17472.0,-182.0,-1.041666666666663,0.007692307692307693,True,2024-01,0.0,False,Multivariate exception
PO-002753,2024-01-08,SUP-018,CMP-000,367,367,7,35.65,2,112.36,94.6,118.43,Supplier A19,CN,42,Preferred,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,13083.55,11377.0,1706.5499999999993,14.999999999999991,0.01907356948228883,True,2024-01,1.7326,False,High unit-price variance
PO-001177,2024-01-08,SUP-001,CMP-003,2398,2398,29,6.99,1,112.36,94.6,118.43,Supplier A02,PL,19,Preferred,Copper busbar,Copper,7.2,0.4,0.11,16762.02,17265.600000000002,-503.58000000000175,-2.9166666666666674,0.012093411175979984,True,2024-01,0.0,False,Multivariate exception
PO-001514,2024-01-08,SUP-023,CMP-002,3465,3465,5,5.06,4,112.36,94.6,118.43,Supplier A24,DE,12,Approved,Cell casing,Aluminium,4.8,0.22,0.2,17532.899999999998,16632.0,900.8999999999978,5.41666666666667,0.001443001443001443,False,2024-01,0.7033,False,Multivariate exception
PO-000851,2024-01-09,SUP-049,CMP-004,1353,1353,15,87.59,3,112.41,94.68,118.49,Supplier B24,FI,9,Preferred,Battery cell,Multi-material,74.0,0.52,0.18,118509.27,100122.0,18387.270000000004,18.36486486486486,0.011086474501108648,False,2024-01,2.1499,False,High unit-price variance
PO-000235,2024-01-09,SUP-019,CMP-002,4087,4087,55,5.03,-1,112.41,94.68,118.49,Supplier A20,DE,12,Approved,Cell casing,Aluminium,4.8,0.22,0.2,20557.61,19617.6,940.010000000002,4.791666666666683,0.013457303645705897,True,2024-01,0.3321,False,Multivariate exception
PO-001877,2024-01-09,SUP-027,CMP-000,1031,1031,4,33.71,5,112.41,94.68,118.49,Supplier B02,CZ,17,Preferred,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,34755.01,31961.0,2794.010000000002,8.741935483870966,0.0038797284190106693,False,2024-01,1.1402,False,Multivariate exception
PO-004639,2024-01-09,SUP-022,CMP-004,2731,2731,44,79.58,3,112.41,94.68,118.49,Supplier A23,DE,12,Preferred,Battery cell,Multi-material,74.0,0.52,0.18,217332.97999999998,202094.0,15238.979999999981,7.540540540540541,0.016111314536799707,False,2024-01,0.8194,False,Multivariate exception
PO-002625,2024-01-09,SUP-037,CMP-007,345,345,1,40.61,8,112.41,94.68,118.49,Supplier B12,CZ,17,Preferred,Module housing,Aluminium,42.0,0.18,0.26,14010.449999999999,14490.0,-479.5500000000011,-3.3095238095238066,0.002898550724637681,False,2024-01,1.3354,False,Late delivery
PO-001553,2024-01-10,SUP-039,CMP-002,2294,2294,20,4.95,-2,112.46,94.77,118.55,Supplier B14,PT,15,Preferred,Cell casing,Aluminium,4.8,0.22,0.2,11355.300000000001,11011.199999999999,344.1000000000022,3.125,0.008718395815170008,True,2024-01,0.1066,False,Multivariate exception
PO-003032,2024-01-10,SUP-021,CMP-005,3757,3757,27,127.45,0,112.46,94.77,118.55,Supplier A22,DE,12,Preferred,Battery management system,Electronics,118.0,0.08,0.09,478829.65,443326.0,35503.65000000002,8.008474576271185,0.007186585041256322,True,2024-01,0.7504,False,Multivariate exception
PO-000971,2024-01-10,SUP-000,CMP-003,1179,1179,9,7.07,-1,112.46,94.77,118.55,Supplier A01,HU,24,Preferred,Copper busbar,Copper,7.2,0.4,0.11,8335.53,8488.800000000001,-153.27000000000044,-1.8055555555555491,0.007633587786259542,True,2024-01,0.0,False,Multivariate exception
PO-003259,2024-01-10,SUP-041,CMP-009,838,838,12,13.43,3,112.46,94.77,118.55,Supplier B16,SE,10,Strategic,Pack seal & insulation,Polymers,13.0,0.06,0.14,11254.34,10894.0,360.34000000000015,3.3076923076923004,0.014319809069212411,False,2024-01,0.4194,False,Multivariate exception
PO-003147,2024-01-11,SUP-034,CMP-004,4224,4224,35,75.09,0,112.51,94.85,118.61,Supplier B09,CN,42,Preferred,Battery cell,Multi-material,74.0,0.52,0.18,317180.16000000003,312576.0,4604.160000000033,1.4729729729729746,0.008285984848484848,True,2024-01,0.0,False,Multivariate exception
PO-003721,2024-01-11,SUP-042,CMP-000,424,424,5,36.02,3,112.51,94.85,118.61,Supplier B17,DE,12,Approved,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,15272.480000000001,13144.0,2128.4800000000014,16.19354838709679,0.01179245283018868,False,2024-01,1.8688,False,High unit-price variance
PO-001866,2024-01-11,SUP-007,CMP-007,4257,4257,23,43.75,2,112.51,94.85,118.61,Supplier A08,DE,12,Strategic,Module housing,Aluminium,42.0,0.18,0.26,186243.75,178794.0,7449.75,4.166666666666674,0.005402865867982147,True,2024-01,0.3097,False,Multivariate exception
PO-000223,2024-01-11,SUP-004,CMP-004,3885,3885,91,82.1,3,112.51,94.85,118.61,Supplier A05,PL,19,Preferred,Battery cell,Multi-material,74.0,0.52,0.18,318958.5,287490.0,31468.5,10.945945945945933,0.023423423423423424,False,2024-01,1.3807,False,Multivariate exception
PO-000690,2024-01-11,SUP-015,CMP-001,350,350,9,9.64,13,112.51,94.85,118.61,Supplier A16,DE,12,Approved,Anode graphite,Graphite,9.4,0.47,0.13,3374.0,3290.0,84.0,2.553191489361706,0.025714285714285714,False,2024-01,2.434,False,Late delivery
PO-001328,2024-01-12,SUP-036,CMP-003,3503,3503,12,7.25,2,112.57,94.94,118.67,Supplier B11,DE,12,Strategic,Copper busbar,Copper,7.2,0.4,0.11,25396.75,25221.600000000002,175.14999999999782,0.694444444444442,0.0034256351698544107,True,2024-01,0.1908,False,Multivariate exception
PO-004428,2024-01-12,SUP-035,CMP-004,3090,3090,13,81.93,4,112.57,94.94,118.67,Supplier B10,KR,21,Strategic,Battery cell,Multi-material,74.0,0.52,0.18,253163.7,228660.0,24503.70000000001,10.716216216216235,0.004207119741100324,False,2024-01,1.2465,False,Multivariate exception
PO-004711,2024-01-12,SUP-045,CMP-005,806,806,3,131.83,2,112.57,94.94,118.67,Supplier B20,DE,12,Approved,Battery management system,Electronics,118.0,0.08,0.09,106254.98000000001,95108.0,11146.98000000001,11.720338983050848,0.0037220843672456576,True,2024-01,1.2544,False,Multivariate exception
PO-003164,2024-01-12,SUP-010,CMP-000,5853,5853,28,33.52,5,112.57,94.94,118.67,Supplier A11,DE,12,Approved,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,196192.56000000003,181443.0,14749.560000000027,8.129032258064516,0.004783871518879207,False,2024-01,1.0815,False,Multivariate exception
PO-003841,2024-01-13,SUP-005,CMP-002,2178,2178,22,4.98,1,112.62,95.02,118.73,Supplier A06,DE,12,Preferred,Cell casing,Aluminium,4.8,0.22,0.2,10846.44,10454.4,392.0400000000009,3.750000000000009,0.010101010101010102,True,2024-01,0.189,False,Multivariate exception
PO-002735,2024-01-13,SUP-006,CMP-002,4761,4761,36,4.94,-2,112.62,95.02,118.73,Supplier A07,CN,42,Preferred,Cell casing,Aluminium,4.8,0.22,0.2,23519.34,22852.8,666.5400000000009,2.9166666666666785,0.007561436672967864,True,2024-01,0.0792,False,Multivariate exception
PO-001555,2024-01-13,SUP-047,CMP-005,4398,4398,24,120.93,3,112.62,95.02,118.73,Supplier B22,HU,24,Preferred,Battery management system,Electronics,118.0,0.08,0.09,531850.14,518964.0,12886.140000000014,2.483050847457635,0.005457025920873124,False,2024-01,0.3822,False,Multivariate exception
PO-000839,2024-01-14,SUP-039,CMP-001,4051,4051,26,9.53,0,112.67,95.11,118.79,Supplier B14,PT,15,Preferred,Anode graphite,Graphite,9.4,0.47,0.13,38606.03,38079.4,526.6299999999974,1.382978723404249,0.006418168353492965,True,2024-01,0.0,False,Multivariate exception
PO-002118,2024-01-14,SUP-009,CMP-004,1107,1107,19,81.68,4,112.67,95.11,118.79,Supplier A10,CN,42,Preferred,Battery cell,Multi-material,74.0,0.52,0.18,90419.76000000001,81918.0,8501.76000000001,10.378378378378383,0.017163504968383016,False,2024-01,1.2421,False,Multivariate exception
PO-001022,2024-01-14,SUP-013,CMP-004,4525,4525,211,80.12,1,112.67,95.11,118.79,Supplier A14,CN,42,Approved,Battery cell,Multi-material,74.0,0.52,0.18,362543.0,334850.0,27693.0,8.270270270270274,0.046629834254143646,True,2024-01,2.2706,False,High defect rate
PO-000122,2024-01-14,SUP-027,CMP-007,3879,3879,7,43.22,6,112.67,95.11,118.79,Supplier B02,CZ,17,Preferred,Module housing,Aluminium,42.0,0.18,0.26,167650.38,162918.0,4732.380000000005,2.904761904761899,0.0018045888115493685,False,2024-01,0.957,False,Multivariate exception
PO-003620,2024-01-14,SUP-048,CMP-000,4874,4874,11,34.29,1,112.67,95.11,118.79,Supplier B23,PL,19,Preferred,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,167129.46,151094.0,16035.459999999992,10.612903225806459,0.0022568732047599507,True,2024-01,1.0938,False,Multivariate exception
PO-002857,2024-01-15,SUP-044,CMP-004,1981,1981,36,80.17,2,112.72,95.19,118.85,Supplier B19,DE,12,Approved,Battery cell,Multi-material,74.0,0.52,0.18,158816.77,146594.0,12222.76999999999,8.337837837837835,0.01817264008076729,True,2024-01,0.8905,False,Multivariate exception
PO-003379,2024-01-15,SUP-026,CMP-001,1329,1329,15,9.58,-2,112.72,95.19,118.85,Supplier B01,DE,12,Approved,Anode graphite,Graphite,9.4,0.47,0.13,12731.82,12492.6,239.21999999999935,1.9148936170212627,0.011286681715575621,True,2024-01,0.0,False,Multivariate exception
PO-004550,2024-01-15,SUP-053,CMP-002,1496,1496,31,4.72,4,112.72,95.19,118.85,Supplier C02,CZ,17,Preferred,Cell casing,Aluminium,4.8,0.22,0.2,7061.12,7180.8,-119.68000000000029,-1.6666666666666718,0.02072192513368984,False,2024-01,0.7696,False,Multivariate exception
PO-002643,2024-01-15,SUP-000,CMP-003,2942,2942,22,7.61,-2,112.72,95.19,118.85,Supplier A01,HU,24,Preferred,Copper busbar,Copper,7.2,0.4,0.11,22388.620000000003,21182.4,1206.2200000000012,5.694444444444446,0.007477906186267845,True,2024-01,0.4454,False,Multivariate exception
PO-000898,2024-01-15,SUP-052,CMP-008,1036,1036,12,18.79,-2,112.72,95.19,118.85,Supplier C01,DE,12,Approved,High-voltage connector,Copper/Electronics,18.0,0.18,0.1,19466.44,18648.0,818.4399999999987,4.388888888888887,0.011583011583011582,True,2024-01,0.2733,False,Multivariate exception
PO-000887,2024-01-15,SUP-040,CMP-000,3098,3098,14,33.92,4,112.72,95.19,118.85,Supplier B15,KR,21,Preferred,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,105084.16,96038.0,9046.160000000003,9.419354838709681,0.004519044544867657,False,2024-01,1.0975,False,Multivariate exception
PO-003228,2024-01-16,SUP-000,CMP-004,1682,1682,18,80.94,0,112.77,95.27,118.91,Supplier A01,HU,24,Preferred,Battery cell,Multi-material,74.0,0.52,0.18,136141.08,124468.0,11673.079999999987,9.378378378378383,0.01070154577883472,True,2024-01,0.931,False,Multivariate exception
PO-003839,2024-01-16,SUP-050,CMP-004,3698,3698,42,78.46,3,112.77,95.27,118.91,Supplier B25,CZ,17,Strategic,Battery cell,Multi-material,74.0,0.52,0.18,290145.07999999996,273652.0,16493.079999999958,6.027027027027021,0.011357490535424553,False,2024-01,0.6204,False,Multivariate exception
PO-003381,2024-01-16,SUP-010,CMP-001,3222,3222,7,9.65,2,112.77,95.27,118.91,Supplier A11,DE,12,Approved,Anode graphite,Graphite,9.4,0.47,0.13,31092.300000000003,30286.800000000003,805.5,2.659574468085113,0.0021725636250775914,True,2024-01,0.1961,False,Multivariate exception
PO-000781,2024-01-16,SUP-016,CMP-003,539,539,6,6.87,3,112.77,95.27,118.91,Supplier A17,CN,42,Preferred,Copper busbar,Copper,7.2,0.4,0.11,3702.93,3880.8,-177.87000000000035,-4.583333333333339,0.011131725417439703,False,2024-01,0.3816,False,Multivariate exception
PO-001111,2024-01-16,SUP-041,CMP-004,3896,3896,50,81.28,-1,112.77,95.27,118.91,Supplier B16,SE,10,Strategic,Battery cell,Multi-material,74.0,0.52,0.18,316666.88,288304.0,28362.880000000005,9.83783783783785,0.012833675564681724,True,2024-01,0.9919,False,Multivariate exception
PO-001107,2024-01-17,SUP-039,CMP-003,634,634,12,7.93,3,112.82,95.36,118.97,Supplier B14,PT,15,Preferred,Copper busbar,Copper,7.2,0.4,0.11,5027.62,4564.8,462.8199999999997,10.138888888888875,0.01892744479495268,False,2024-01,1.171,False,Multivariate exception
PO-001941,2024-01-17,SUP-018,CMP-003,3620,3620,152,8.27,2,112.82,95.36,118.97,Supplier A19,CN,42,Preferred,Copper busbar,Copper,7.2,0.4,0.11,29937.399999999998,26064.0,3873.399999999998,14.861111111111104,0.041988950276243095,True,2024-01,2.4822,True,High unit-price variance
PO-002704,2024-01-17,SUP-017,CMP-000,4687,4687,44,36.27,-2,112.82,95.36,118.97,Supplier A18,PL,19,Approved,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,169997.49000000002,145297.0,24700.49000000002,17.000000000000014,0.009387668017921912,True,2024-01,1.9358,False,High unit-price variance
PO-001474,2024-01-17,SUP-023,CMP-007,1926,1926,8,44.3,0,112.82,95.36,118.97,Supplier A24,DE,12,Approved,Module housing,Aluminium,42.0,0.18,0.26,85321.79999999999,80892.0,4429.799999999988,5.476190476190479,0.004153686396677051,True,2024-01,0.4166,False,Multivariate exception
PO-003491,2024-01-17,SUP-031,CMP-000,4554,4554,102,35.05,-3,112.82,95.36,118.97,Supplier B06,CZ,17,Approved,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,159617.69999999998,141174.0,18443.699999999983,13.064516129032256,0.022397891963109356,True,2024-01,1.5463,False,Multivariate exception
PO-003007,2024-01-17,SUP-006,CMP-004,4430,4430,21,79.51,3,112.82,95.36,118.97,Supplier A07,CN,42,Preferred,Battery cell,Multi-material,74.0,0.52,0.18,352229.30000000005,327820.0,24409.300000000047,7.445945945945942,0.004740406320541761,False,2024-01,0.7765,False,Multivariate exception
PO-000515,2024-01-17,SUP-033,CMP-000,3287,3287,72,35.27,-3,112.82,95.36,118.97,Supplier B08,KR,21,Approved,Cathode active material,Lithium/Nickel,31.0,0.58,0.16,115932.49,101897.0,14035.490000000005,13.774193548387114,0.021904472163066627,True,2024-01,1.621,False,Multivariate exception
PO-001987,2024-01-17,SUP-026,CMP-005,3565,3565,84,119.36,0,112.82,95.36,118.97,Supplier B01,DE,12,Approved,Battery management system,Electronics,118.0,0.08,0.09,425518.4,420670.0,4848.400000000023,1.15254237288136,0.02356241234221599,True,2024-01,0.6917,False,Multivariate exception
PO-001857,2024-01-17,SUP-032,CMP-004,3785,3785,24,80.0,3,112.82,95.36,118.97,Supplier B07,CZ,17,Preferred,Battery cell,Multi-material,74.0,0.52,0.18,302800.0,280090.0,22710.0,8.108108108108114,0.006340819022457068,False,2024-01,0.8536,False,Multivariate exception
PO-001975,2024-01-18,SUP-005,CMP-001,2238,2238,44,9.19,-2,112.87,95.44,119.03,Supplier A06,DE,12,Preferred,Anode graphite,Graphite,9.4,0.47,0.13,20567.219999999998,21037.2,-469.9800000000032,-2.2340425531914954,0.01966041108132261,True,2024-01,0.4483,False,Multivariate exception
PO-004540,2024-01-18,SUP-043,CMP-008,1966,1966,20,18.78,2,112.87,95.44,119.03,Supplier B18,CZ,17,Approved,High-voltage connector,Copper/Electronics,18.0,0.18,0.1,36921.48,35388.0,1533.4800000000032,4.333333333333345,0.01017293997965412,True,2024-01,0.3273,False,Multivariate exception
PO-000930,2024-01-18,SUP-017,CMP-001,4854,4854,80,9.67,1,112.87,95.44,119.03,Supplier A18,PL,19,Approved,Anode graphite,Graphite,9.4,0.47,0.13,46938.18,45627.6,1310.5800000000017,2.872340425531905,0.016481252575195716,True,2024-01,0.2605,False,Multivariate exception
PO-001045,2024-01-18,SUP-021,CMP-007,4226,4226,102,43.48,0,112.87,95.44,119.03,Supplier A22,DE,12,Preferred,Module housing,Aluminium,42.0,0.18,0.26,183746.47999999998,177492.0,6254.479999999981,3.523809523809507,0.024136299100804542,True,2024-01,0.7447,False,Multivariate exception
PO-003670,2024-01-18,SUP-013,CMP-002,3387,3387,88,5.2,3,112.87,95.44,119.03,Supplier A14,CN,42,Approved,Cell casing,Aluminium,4.8,0.22,0.2,17612.4,16257.599999999999,1354.800000000003,8.333333333333348,0.025981694715087097,False,2024-01,1.2185,False,Multivariate exception
PO-003687,2024-01-18,SUP-013,CMP-004,3347,3347,189,79.27,-2,112.87,95.44,119.03,Supplier A14,CN,42,Approved,Battery cell,Multi-material,74.0,0.52,0.18,265316.69,247678.0,17638.690000000002,7.121621621621621,0.05646847923513594,True,2024-01,2.8165,True,High defect rate
PO-001165,2024-01-18,SUP-019,CMP-007,3576,3576,67,44.83,-2,112.87,95.44,119.03,Supplier A20,DE,12,Approved,Module housing,Aluminium,42.0,0.18,0.26,160312.08,150192.0,10120.079999999987,6.738095238095232,0.01873601789709172,True,2024-01,0.7017,False,Multivariate exception
PO-000810,2024-01-19,SUP-038,CMP-005,5664,5664,50,123.94,0,112.92,95.52,119.09,Supplier B13,PT,15,Preferred,Battery management system,Electronics,118.0,0.08,0.09,701996.16,668352.0,33644.16000000003,5.033898305084739,0.00882768361581921,True,2024-01,0.3583,False,Multivariate exception
